price,area,bhk,bathroom
11400000.0,1572,3,1.0
11900000.0,1643,3,1.0
11800000.0,1625,3,1.0
15900000.0,2295,4,1.0
10100000.0,1760,3,1.0
17500000.0,2544,4,1.0
11500000.0,1630,3,3.0
12100000.0,1671,3,1.0
12200000.0,1735,3,1.0
15200000.0,2183,4,1.0
16000000.0,2242,4,1.0
13400000.0,1852,3,1.0
12900000.0,1797,3,1.0
16500000.0,2433,4,1.0
16900000.0,2495,4,1.0
32700000.0,4450,5,1.0
13300000.0,1962,3,1.0
6417000.0,1310,3,1.0
7647000.0,1561,3,1.0
8170999.999999999,1668,3,1.0
5158000.0,1053,2,1.0
4859000.0,992,2,1.0
6334000.0,1293,3,1.0
7647000.0,1561,3,1.0
6383000.0,1303,3,1.0
5741000.0,1172,2,1.0
4874000.0,995,2,1.0
6231000.0,1272,3,1.0
8200000.0,1674,3,1.0
6270000.0,1280,3,2.0
7456000.0,1522,3,1.0
9451000.0,1400,3,2.0
6417000.0,1310,3,1.0
6966000.0,1422,3,1.0
4869000.0,994,2,1.0
7381999.999999999,1085,2,1.0
4009000.0000000005,853,2,1.0
3849000.0,819,2,1.0
3877000.0000000005,825,2,1.0
3872000.0,824,2,1.0
6966000.0,1422,3,1.0
4869000.0,994,2,1.0
4859000.0,992,2,1.0
6334000.0,1293,3,1.0
6383000.0,1303,3,1.0
5741000.0,1172,2,1.0
4874000.0,995,2,1.0
6231000.0,1272,3,1.0
6270000.0,1280,3,2.0
6300000.0,1286,3,1.0
4943000.0,1009,2,1.0
8037000.0,1576,3,1.0
7889000.0,1547,3,1.0
8068000.000000001,1582,3,1.0
7089000.0,1390,3,1.0
7415000.000000001,1454,3,1.0
7094000.0,1391,3,1.0
7966000.0,1562,3,1.0
18800000.0,2221,3,3.0
18800000.0,2221,3,3.0
3600000.0,849,2,1.0
5700000.0,1240,2,1.0
11000000.0,2320,4,1.0
6260000.0,1360,3,2.0
9029000.0,1962,3,3.0
13800000.0,2211,4,2.0
9757000.0,1668,3,1.0
8599000.0,1470,3,2.0
8386000.0,1342,2,1.0
12100000.0,1947,3,1.0
6148000.0,1051,2,2.0
11500000.0,1849,3,1.0
13900000.0,2228,4,1.0
8517000.0,1363,2,1.0
7002000.0,1197,2,2.0
4730000.0,1113,2,1.0
6953000.0,1636,3,1.0
5138000.0,1209,2,2.0
6855000.0,1613,3,1.0
5750000.0,1353,3,2.0
7038000.0,1656,3,3.0
6502000.0,1530,3,3.0
5933000.0,1396,3,2.0
6511000.0,1532,3,1.0
8740000.0,1469,3,1.0
8156999.999999999,1371,3,1.0
3534000.0000000005,594,2,1.0
8829000.0,1484,3,1.0
3515999.9999999995,591,2,1.0
3558000.0,598,2,1.0
3575000.0,601,2,1.0
11700000.0,2132,4,1.0
11200000.0,2042,3,1.0
14800000.0,2701,3,1.0
8365000.000000001,1521,3,1.0
10800000.0,1978,4,1.0
7815000.000000001,1421,3,1.0
7998000.0,1740,3,1.0
7998000.0,1740,3,1.0
9448000.0,2055,4,1.0
9448000.0,2055,4,1.0
6869000.0,1494,3,2.0
6869000.0,1494,3,2.0
2425000.0,614,2,1.0
2441000.0,618,2,1.0
1989999.9999999998,504,1,1.0
5307000.0,1005,2,1.0
5664000.0,1069,2,1.0
3770000.0000000005,903,2,1.0
4400000.0,1054,2,1.0
4053000.0,971,2,1.0
5101000.0,1222,3,1.0
3319000.0,795,2,1.0
4826000.0,1156,2,1.0
3611000.0,865,2,1.0
3740000.0,896,2,1.0
3978000.0,953,2,1.0
3281000.0,786,2,1.0
4776000.0,1144,3,1.0
3690000.0,884,2,1.0
3577000.0000000005,857,2,1.0
3294000.0,789,2,1.0
3272999.9999999995,784,2,1.0
3269000.0,783,2,1.0
4726000.0,1132,3,1.0
3394000.0,813,2,1.0
10700000.0,1948,3,1.0
11600000.0,2122,3,1.0
11700000.0,2134,3,1.0
9498000.0,1727,3,1.0
13800000.0,2526,3,1.0
9493000.0,1726,3,1.0
9350000.0,1700,3,1.0
10900000.0,1994,3,1.0
